date,ticker,company,event_type,disclosure_time,day_of_week,severity,same_day_return,next_day_return,3d_return,headline_summary,source
2020-04-30,AMZN,Amazon,earnings_miss,AMC,Thu,moderate,-7.6,-4.0,-4.8,Q1 2020 실적 컨센서스 EPS 하회 + $40억 COVID 비용 경고,CNBC 2020-04-30
2020-10-29,META,Meta (Facebook),guidance_cut,AMC,Thu,severe,-6.3,-6.2,-7.1,Q4 2020 가이던스 하향 + Apple 프라이버시 변경 영향 경고,Facebook Q3 2020 earnings release
2020-07-30,AAPL,Apple,earnings_miss,AMC,Thu,minor,1.2,10.5,8.2,"Q3 2020 iPhone 매출 강세, 주식 4-for-1 분할 발표",Apple Q3 2020 earnings
2021-04-28,FB,Meta (Facebook),earnings_miss,AMC,Wed,minor,0.2,7.3,8.4,"Q1 2021 실적 발표 후 대체로 긍정, iOS 14.5 우려",Facebook Q1 2021 earnings release
2021-07-26,TSLA,Tesla,earnings_miss,AMC,Mon,minor,0.8,0.2,-1.3,"Q2 2021 EPS beat, 비트코인 손실 언급",Tesla Q2 2021 update
2021-10-25,META,Meta (Facebook),guidance_cut,AMC,Mon,moderate,1.3,-3.9,-3.6,"Q3 2021 매출 컨센서스 하회, Apple ATT 영향 확정",Meta Q3 2021 release
2022-01-26,NFLX,Netflix,guidance_cut,AMC,Thu,severe,-21.8,-1.5,-23.0,Q4 2021 구독자 가이던스 대폭 하향 — 250만 신규 유저 vs 컨센서스 600만,"CNBC 2022-01-20, Netflix Q4 2021 letter"
2022-02-02,META,Meta Platforms,guidance_cut,AMC,Wed,severe,-26.4,-0.3,-27.5,DAU 첫 감소 + Apple ATT로 $100억 매출 타격 경고 — 역사적 최대 일일 시가총액 손실,"CNBC 2022-02-02, Meta Q4 2021 earnings"
2022-04-19,NFLX,Netflix,earnings_miss,AMC,Tue,severe,2.0,-35.1,-36.4,Q1 2022 구독자 20만 명 순감 — 10년만에 첫 감소,"Reuters 2022-04-20, Netflix Q1 2022 letter"
2022-05-18,TGT,Target,earnings_miss,BMO,Wed,severe,-24.9,-2.3,-25.8,Q1 FY2022 재고 누적 + 물류비 급증으로 이익 반감,"CNBC 2022-05-18, Target Q1 2022 release"
2022-07-14,JPM,JPMorgan,guidance_cut,BMO,Thu,moderate,-3.5,4.6,1.6,Q2 2022 버퍼 확충 위한 배당금 유예 + 자사주매입 중단,CNBC 2022-07-14
2022-07-26,WMT,Walmart,guidance_cut,AMC,Mon,severe,-7.6,-0.9,-8.5,Q2 2023 가이던스 큰 폭 하향 — pre-announcement 월요일 장 마감 후,Walmart 2022-07-25 8-K (after market close)
2022-10-26,META,Meta Platforms,guidance_cut,AMC,Wed,severe,-24.6,1.3,-23.9,Reality Labs 손실 공개 + 가이던스 하향 — 다음날 시총 $800억 증발,"Meta Q3 2022 release, WSJ 2022-10-27"
2022-11-02,QCOM,Qualcomm,guidance_cut,AMC,Wed,severe,-7.7,-7.7,-14.9,스마트폰 수요 급감 — FY23 1Q 매출 가이던스 $93~101억 vs 컨센서스 $121억,"Reuters 2022-11-02, Qualcomm 8-K"
2023-01-25,MSFT,Microsoft,guidance_cut,AMC,Tue,moderate,4.0,-3.6,-1.8,Azure 성장 둔화 경고 — 어닝콜 중 가이던스 하향,"CNBC 2023-01-24, Microsoft Q2 FY23 earnings"
2023-02-01,SNAP,Snap,guidance_cut,AMC,Tue,severe,0.1,-10.3,-11.2,Q1 2023 가이던스 제공 거부 — 광고 매출 불확실성 인정,"Snap Q4 2022 release, Reuters 2023-02-01"
2023-02-09,GOOG,Alphabet,earnings_miss,AMC,Thu,severe,-4.4,-4.1,-8.7,"Bard AI 데모 실수 공개 + 광고 매출 둔화 — 시총 $1,000억 증발","CNN 2023-02-08, Alphabet Q4 2022"
2023-08-01,AMD,AMD,earnings_miss,AMC,Tue,moderate,1.8,-7.0,-6.3,데이터센터 매출 가이던스 하향 + PC 수요 우려,Reuters 2023-08-01
2023-10-26,META,Meta Platforms,guidance_cut,AMC,Wed,severe,2.8,-3.7,-6.5,2024 지출 증가 + 이스라엘-하마스 전쟁 광고 우려,"CNBC 2023-10-25, Meta Q3 2023 release"
2023-11-02,AAPL,Apple,guidance_cut,AMC,Thu,moderate,0.7,-0.5,-1.7,Q1 FY24 매출 FY23 1Q 대비 flat 전망 — 3분기 연속 매출 감소 기록,Apple Q4 FY23 release 2023-11-02
2023-11-21,NVDA,Nvidia,guidance_cut,AMC,Tue,minor,2.2,-0.9,0.6,"Q4 FY24 가이던스 beat, 그러나 중국 수출 규제 우려 명시",Nvidia Q3 FY24 release
2024-02-01,SNAP,Snap,guidance_cut,AMC,Thu,severe,0.1,-34.6,-35.8,Q1 2024 매출 가이던스 컨센서스 하회 + 10% 감원 발표,Reuters 2024-02-06
2024-04-19,NFLX,Netflix,guidance_cut,AMC,Thu,moderate,0.9,-9.1,-9.3,구독자 수 공개 중단 발표 + Q2 매출 가이던스 컨센서스 하회,"CNBC 2024-04-18, Netflix Q1 2024 letter"
2024-04-24,META,Meta Platforms,guidance_cut,AMC,Wed,severe,0.3,-10.6,-10.9,2024 AI 지출 $350~400억 상향 — 이익 우려로 주가 급락,"CNBC 2024-04-24, Meta Q1 2024 release"
2024-07-30,MSFT,Microsoft,guidance_cut,AMC,Tue,moderate,0.0,-1.0,-4.5,Azure 성장률 컨센서스 하회 — 29% vs 기대 31%,CNBC 2024-07-30
2024-08-02,INTC,Intel,guidance_cut,AMC,Thu,severe,-1.8,-26.1,-27.3,"15,000명 감원 + 배당금 유예 + Q3 가이던스 대폭 하향 (금요일 개장 직전)","CNBC 2024-08-02, Intel 8-K"
2024-10-30,META,Meta Platforms,guidance_cut,AMC,Wed,moderate,1.1,-4.1,-4.9,"2025 CapEx $1,000억+ 전망 — AI 지출 증가 경고",CNBC 2024-10-30
2025-01-28,NVDA,Nvidia,macro_shock,RMT,Mon,severe,-17.0,8.9,-5.8,"DeepSeek V3 공개에 따른 AI 지출 재평가 — 시총 하루 $6,000억 증발","Reuters 2025-01-27, WSJ 2025-01-28"
2025-02-26,NVDA,Nvidia,guidance_cut,AMC,Wed,minor,3.7,-8.5,-5.0,Blackwell gross margin 부담 경고 — 실적 beat에도 주가 하락,"CNBC 2025-02-26, Nvidia Q4 FY25 release"
2025-04-16,NVDA,Nvidia,investigation,AMC,Tue,moderate,-6.9,-2.9,-10.0,H20 중국 수출 규제로 $55억 대손 경고 — 화요일 장 마감 후 8-K,"CNBC 2025-04-16, Nvidia 8-K"
2025-05-01,AMZN,Amazon,guidance_cut,AMC,Thu,moderate,0.0,-0.1,-2.8,Q2 2025 영업이익 가이던스 하회 + 관세 불확실성 언급,CNBC 2025-05-01
2025-07-31,META,Meta Platforms,guidance_cut,AMC,Wed,moderate,1.5,-11.3,-11.0,2025 CapEx $660~720억 — 이전 $600~650억에서 대폭 상향,"CNBC 2025-07-30, Meta Q2 2025"
2025-10-29,META,Meta Platforms,guidance_cut,AMC,Wed,severe,0.0,-11.3,-13.1,CapEx 가이던스 $700~720억 재상향 — AI 지출 우려 재부상,CNBC 2025-10-29
2025-10-22,NFLX,Netflix,earnings_miss,AMC,Tue,moderate,1.1,-10.1,-9.4,Q3 2025 EPS miss — 브라질 세금 분쟁 $619M 영향,Yahoo Finance 2025-10-22
